infra_tipo,infra_fluxo,vias,inicio,final,bairro,extensao_metros,area_planejamento,score_c,score_d,peso_v,peso_h,safety_score_final_v2,risco_infraestrutura,score_risco,categoria_seguranca,cor
Ciclofaixa,Bidirecional,AVENIDA BRIGADEIRO TROMPOWSKI,Saída da Avenida Brigadeiro Trompowski,"Av. Horácio Macedo, oposto ao número 5323",ILHA DO GOVERNADOR,"141,135515668608",3,"0,0","0,0","2,0","3,0","1,0","10,0","9,0",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,AVENIDA CARLOS CHAGAS FILHO,Rua Largo Wando de Oliveira,Oposto a Rua Dezenove,ILHA DO GOVERNADOR,"648,22148020512",3,"0,0","0,0","1,0","1,0","1,0","10,0","4,0",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,ESTRADA DO MATO ALTO,Próximo ao número 7398,Próximo à Clínica da Família Agenor de Miranda Araújo Neto,GUARATIBA,"2436,32011431458",5,"24,4","107,8","1,5","4,0","2,0","9,0","802,2",Alta segurança,verde
Faixa compartilhada na pista,"Unidirecional, no fluxo dos automóveis",ESTRADA DA BICA,Esquina Rua Ipiru,"Estrada do Rio Jequiá, oposto ao número 1710",ILHA DO GOVERNADOR,"160,559332960324",3,"0,0","0,0","1,2","2,0","4,5","6,5","4,4",Alta segurança,verde
Faixa compartilhada na pista,"Unidirecional, no fluxo dos automóveis",ESTRADA DO RIO JEQUIÁ,Oposto ao número 46,Rua Nereida,ILHA DO GOVERNADOR,"241,721130891404",3,"0,0","0,0","1,2","3,0","2,5","8,5","6,1",Alta segurança,verde
Faixa compartilhada na pista,"Unidirecional, no fluxo dos automóveis",ESTRADA DO RIO JEQUIÁ,Estrada do Dendê,Praia de Olaria,ILHA DO GOVERNADOR,"7126,14289396723",3,"0,0","0,0","1,2","3,0","2,5","8,5","6,1",Alta segurança,verde
Faixa compartilhada na pista,"Unidirecional, no fluxo dos automóveis",AVENIDA PARANAPUÃ,Rua Mareante,"Avenida do Magistério, oposto ao número 615",ILHA DO GOVERNADOR,"197,06919058974",3,"0,0","0,0","1,2","2,0","4,5","6,5","4,4",Alta segurança,verde
Ciclofaixa,Bidirecional,RUA JOSÉ DOS REIS,Oposto ao número 423,"Rua Arquias Cordeiro, oposto ao número 1046",MÉIER,"784,588610280025",3,"23,2","0,0","1,2","2,0","2,5","8,5","64,2",Alta segurança,verde
Faixa compartilhada na pista,"Unidirecional, no fluxo dos automóveis",RUA COMENDADOR MARTINELI,Número 467,Número 179,TIJUCA,"399,260828368439",2,"224,8","117,0","1,0","1,0","5,0","6,0","347,8",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,RUA ARQUIAS CORDEIRO,Oposto ao número 1046,"Rua Doutor Padilha, oposto ao número 156",MÉIER,"241,218116750798",3,"23,2","0,0","2,0","3,0","2,5","8,5","147,7",Alta segurança,verde
Faixa compartilhada na calçada,Não identificado,PRAÇA VARNHAGEM,Número 12,Número 179,TIJUCA,"203,752509846784",2,"224,8","117,0","1,2","2,0","10,0","1,0","821,3",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,RUA DOUTOR PADILHA,Oposto ao número 156,"Rua Doutor Padilha, oposto ao número 238",MÉIER,"84,1034889722246",3,"23,2","0,0","1,0","1,0","2,5","8,5","31,7",Alta segurança,verde
Faixa compartilhada na pista,"Unidirecional, no fluxo dos automóveis",RUA JACEGUAI,Número 99,Número 07,TIJUCA,"428,187535413066",2,"224,8","117,0","1,0","1,0","5,0","6,0","347,8",Alta segurança,verde
