Ano;Logradouro;Delito;Total
2020;Avenida Joao Ribeiro;Lesão corporal culposa - trânsito;24
2020;Avenida Joao Xxiii;Acidente de trânsito;13
2020;Avenida Joao Xxiii;Lesão corporal culposa - trânsito;12
2020;Avenida Lucio Costa;Acidente de trânsito;43
2020;Avenida Lucio Costa;Atropelamento;24
2020;Avenida Lucio Costa;Homicídio culposo - trânsito;11
2020;Avenida Lucio Costa;Lesão corporal culposa - trânsito;56
2020;Avenida Maracana;Acidente de trânsito;13
2020;Avenida Maracana;Lesão corporal culposa - trânsito;13
2020;Avenida Marechal Fontenele;Acidente de trânsito;20
2020;Avenida Marechal Fontenele;Lesão corporal culposa - trânsito;19
2020;Avenida Marechal Fontineli;Acidente de trânsito;22
2020;Avenida Marechal Fontineli;Lesão corporal culposa - trânsito;23
2020;Avenida Marechal Rondon;Acidente de trânsito;10
2020;Avenida Marechal Rondon;Lesão corporal culposa - trânsito;10
2020;Avenida Meriti;Acidente de trânsito;23
2020;Avenida Meriti;Lesão corporal culposa - trânsito;22
2020;Avenida Ministro Ari Franco;Acidente de trânsito;13
2020;Avenida Ministro Ari Franco;Lesão corporal culposa - trânsito;14
2020;Avenida Ministro Edgard Romero;Acidente de trânsito;23
2020;Avenida Ministro Edgard Romero;Lesão corporal culposa - trânsito;26
2020;Avenida Monsenhor Felix;Acidente de trânsito;40
2020;Avenida Monsenhor Felix;Lesão corporal culposa - trânsito;42
2020;Avenida Nacoes Unidas;Acidente de trânsito;11
2020;Avenida Nacoes Unidas;Lesão corporal culposa - trânsito;12
2020;Avenida Niemeyer;Acidente de trânsito;10
2020;Avenida Nossa Senhora De Copacabana;Acidente de trânsito;22
2020;Avenida Nossa Senhora De Copacabana;Lesão corporal culposa - trânsito;23
2020;Avenida Oswaldo Aranha;Acidente de trânsito;12
2020;Avenida Oswaldo Aranha;Lesão corporal culposa - trânsito;12
2020;Avenida Pastor Martin Luther King Jr;Acidente de trânsito;16
2020;Avenida Pastor Martin Luther King Jr;Lesão corporal culposa - trânsito;19
2020;Avenida Pastor Martin Luther King Jr.;Acidente de trânsito;74
2020;Avenida Pastor Martin Luther King Jr.;Atropelamento;17
2020;Avenida Pastor Martin Luther King Jr.;Homicídio culposo - trânsito;12
2020;Avenida Pastor Martin Luther King Jr.;Lesão corporal culposa - trânsito;79
2020;Avenida Paulo De Frontin;Acidente de trânsito;25
2020;Avenida Paulo De Frontin;Lesão corporal culposa - trânsito;25
2020;Avenida Presidente Castelo Branco;Acidente de trânsito;15
2020;Avenida Presidente Castelo Branco;Lesão corporal culposa - trânsito;15
2020;Avenida Presidente Vargas;Acidente de trânsito;39
2020;Avenida Presidente Vargas;Atropelamento;18
2020;Avenida Presidente Vargas;Lesão corporal culposa - trânsito;55
2020;Avenida Presidente Vargas - Pista Central;Lesão corporal culposa - trânsito;11
2020;Avenida Princesa Isabel;Acidente de trânsito;13
2020;Avenida Princesa Isabel;Lesão corporal culposa - trânsito;13
2020;Avenida Salvador Allende;Acidente de trânsito;32
2020;Avenida Salvador Allende;Lesão corporal culposa - trânsito;35
2020;Avenida Sargento De Milicias;Lesão corporal culposa - trânsito;11
2020;Avenida Tenente Coronel Muniz De Aragao;Lesão corporal culposa - trânsito;14
2020;Avenida Vicente De Carvalho;Acidente de trânsito;24
2020;Avenida Vicente De Carvalho;Lesão corporal culposa - trânsito;25
2020;Estrada Adhemar Bebiano;Acidente de trânsito;37
2020;Estrada Adhemar Bebiano;Lesão corporal culposa - trânsito;38
2020;Estrada Chrisostomo Pimentel De Oliveira;Acidente de trânsito;14
2020;Estrada Chrisostomo Pimentel De Oliveira;Lesão corporal culposa - trânsito;17
2020;Estrada Da Agua Branca;Acidente de trânsito;28
2020;Estrada Da Agua Branca;Lesão corporal culposa - trânsito;29
2020;Estrada Da Barra Da Tijuca;Lesão corporal culposa - trânsito;16
2020;Estrada Da Cachamorra;Acidente de trânsito;14
